,x,tag1,tag2,tag3
59,"I'm a scientists on the perhiphery of a development team, with ill-defined responsibilities with respect to code maintenance.  Sometimes I provide tests and documentation; sometimes I provide code.",,,
60,review the file changes,code review - self,,
61,I write unit tests and run it locally before submitting the pull request,testing,,
62,"Run the tests, push them to my repo, tests are run by travis-ci.  Do a git diff.",testing,continuous integration,code review - self
63,Over years of experience you generally have a feel for what quality code is.,self appreciation,,
64,I test and review the diff of both the original history and the rebased history.,testing,code review - self,
65,Run unit tests,testing,,
66,By testing togheter with the team leader,testing - peer,,
67,"unit tests, JSHint, JSCS",testing,static analysis,
68,-,no assessment,,
69,Unit and Integration Tests pass against code merged with latest commits.,testing,,
70,I hope it is sufficient,no assessment,,
71,"I test the code for its basic use cases plus all edge cases I can think of. If the code requires unit tests, I add unit tests. I also run the existing suite of unit tests.",testing - manual,testing,
72,Diff it and run tests if any,code review - self,testing,
73,Am I happy for others to see it?,self appreciation,,
74,"Does it solve the problem (or part of the problem)? Are the commit messages clear and do the commits in the PR tell a story? Are there tests? Is there documentation, if required?",address issue,commit quality,testing
75,"I look at the Travis build on my branch to confirm that it is passing. I also try and do some testing with the openhatch ""test environment"" setup if possible.",continuous integration,testing - manual,
76,"by an exhaustive test suite run automatically on each pull request using travis  by exhaustive pre-commit hooks doing code tests using scan-build and splint, also running scripts to check for coding convention.",continuous integration,testing,validation scripts
77,"Running the test suite locally, also wait for the results of Travis CI (okay, that's after submitting)...",testing,,
78,I test it locally,testing,,
79,"Well, I do my best and then improve my code based on the code review.",code review - self,,
80,"Often using code checkers (PEP8, PyLint, etc. etc.) and running project's test suites; sometimes with some additional testing or a ""give-it-a-day"" delay between coding / preparing and submitting.",static analysis,testing,testing - manual
81,Writing and running tests for the new algorthm,testing,,
82,I don't unless it is rejected and I am told to.,no assessment,,
83,By testing it before sending pull request.,testing - manual,,
84,Test and make sure they work as expected before sending PR.,testing - manual,,
85,"The project has a thorough test suite.  I check to ensure that, at a minimum, I haven't broken any tests and I add tests to cover my changes.",testing,,
86,Build and run tests,building,testing,
87,visual review & test run to confirm validity,code review - self,testing,
88,Various lint tools,static analysis,,
89,Testing locally and making sure to code and commit from a clean state.,testing,branching strategy,
90,"Clean, unobtrusive, to the point.",,,
91,"The most important thing is to get the last commit to a known state i.e. don't merge features which only has been tested separately or are independent. In order to fullfill this I create a separate pull-request branch, most of the time I do this before making any changes. To this branch I only commit clean code, hacks and experiments I only commit to separate branches. Bevore submitting the request, all tests (often only manual tests) are applied and have to pass",branching strategy,testing,
92,Combination of number of tests written + number of docs + how small the request is. Usually smaller PRs are better since they change less code and have fewer moving parts.,testing,documentation,
93,By running the code inside out...?,testing - manual,,
94,i dont,no assessment,,
95,"Testing it works correctly, on production if needed.",testing - manual,,
96,i'm not what is being asked here,no assessment,,
97,Manual testing & automated tests if I see how to run them.,testing - manual,testing,
98,ensure all tests are passing,testing,,
99,"Testing, elegance of code.",testing,self appreciation,
100,Test manually and run tests,testing - manual,testing,
101,Peer review,code review - peer,,
102,Compare my branch changes with the branch I'm doing the PR against.,code review - self,,
103,Using git diff,code review - self,,
104,We have pep8 and pylint checks. Also have test coverage reports. All these are run authomatically on Jenkins every time we push a change to the PR code.,static analysis,continuous integration,coverage
105,"Formatting in the github diff is clean and readable. No whitespace errors, all unit tests pass.",code review - self,testing,
106,Medium,,,
107,Mixed.  Most of the times I send a public PR to my own repos to improve the PR with other collaborators,code review - peer,,
108,.,no assessment,,
109,Testing and peer review,testing,code review - peer,
110,I run the unit test suite before my changes and after them.,testing,,
111,Most of the times the bugs are obvious. Sometimes by writing unit tests against them.,self appreciation,testing,
112,"This application has limited automated testing, so I primarily do manual testing of functionality related to the change that I'm making.",testing - manual,,
113,All tests pass. Code coverage.,testing,coverage,
114,It's tested for at least a day before pushed to the repo.,testing,,
115,run php-cs-fixer and checkstyle. Always write tests if functionality changes.,static analysis,testing,
116,Automated test  CS Fix  Visual quick control,testing,testing - manual,
117,"Whether it is useful, maintains code coverage, introduces first a failing test and then a fix (if applicable)",,,
118,test,testing,,
119,I test functionality.,testing - manual,,
120,"a pull request is a living creature, it is ready when it is ready. I often iterate multiple times before and after the peer reviews until I feel it is ready to be merged.",branching strategy,self appreciation,
121,I run the test suite to ensure no obvious errors are in my pull request.  I also discuss the PR on IRC in general terms prior to starting my work.,testing,discussion,
122,"lint type tools, unittests, rechecking diff.",static analysis,testing,code review - self
123,I just check to see if the change has a globally beneficial reason for being a part of the trunk codebase.,makes sense,,
124,Have specs running and comments on the pull request.,testing,discussion,
125,My boss check my commits right before,testing - peer,,
126,I just know when the quality is not good. :-),self appreciation,,
127,I made sure the tests passed and the code was clean,testing,code quality,
128,I review the diff,code review - self,,
129,x,,,
130,If time permits - testing in the local production shinken.,testing - sandbox,,
131,"Look at tests passing, review code to refactor as possible, check PHPdoc, ...",testing,code review - self,static analysis
132,Testing,testing,,
133,"I do basic quailty assessments against my commits. (Such as projects guidelines, language specific requirements and general best practices)",project compliance,standard practices,
134,.,,,
135,Manual Testing,testing,,
136,"Very businesslike and constructive. Time goes, sometimes more rapidly, as well as longer. If other people are not busy with other projects...",,,
137,"Test it on staging of my own project, evaluate shortcomings, push additional commits to feature branch if necessary.",testing - sandbox,branching strategy,
138,Running tests,testing,,
139,"I run local test- and benchmark-suites.  I run `hlint`, which is a Haskell lint tool.  I rebuild and check the documentation locally.  When the pull request is created it is validated using travis-ci.",testing,static analysis,continuous integration
140,Matching the coding standards of the project.,project compliance,,
141,testing locally + executing a local build,testing,building,
142,Following clean code principle and checking Code Style,standard practices,static analysis,
143,I get it reviewed by peers.,code review - peer,,
144,I don't,no assessment,,
145,DMD has a test-suite so I'll create a test case.,testing,,
146,"Passing tests, suitable in code documentation, suitable commit message.    Easy to merge (atomic commit, able to merge at time of sending).",testing,documentation,commit quality
147,I'm just careful in the way I code. I compile and test what I can (but do not write formal tests or contribute my test code),self appreciation,testing - manual,
148,integrated testing and code analysis,testing,static analysis,
149,Code formatting and unit test cases.,code quality,testing,
150,"Testing it on my projects, products",testing - manual,,
151,Code reviews by other developers and continuous integration.,code review - peer,continuous integration,
152,"It testes against unit tests, performance side effects, backward compatibility.",testing,,
153,"tests, peer-review",testing,,
154,"Unit tests, local testing, self code review",testing,code review - self,
155,"cppcheck, code review",static analysis,code review - self,
156,Tests,testing,,
157,I test it manually and often I write automatized tests,testing - manual,testing,
158,Manual testing,testing - manual,,
159,Checking code changes via diff on github.,code review - self,,
160,Test it on device,testing - manual,,
161,"1) By following the contribution guide lines for a PR of that Repository.  2) I follow rails style and ruby style guide.  3) I follow the similar changes regarding of my PR  4) I dry up my code as much as possible .  5) I always attach a test code so that it can test my code broke something or not  6) I follow code convention(ie Thoughtbot, Railscast and other blogs)  7) Most important my code should be readable/neat and clean to Others.",project compliance,code quality,testing
162,codereview + codesniffer + ...,static analysis,,
163,We're using Grunt modules like jshint to perform static code analysis and ensure that the code fulfills some requirements.,static analysis,,
164,-,,,
165,Unit tests,testing,,
166,Test it,testing,,
167,Bla,,,
168,analyzing and testing,testing,,
169,Does what I want. Hopefully there's enough tests to ensure that. Changes shouldn't make the codebase noticeably messier.,testing,self appreciation,
170,By running the associated project unit tests,testing,,
171,"Are no side-effects produced, is it bug free, is it easy to read.",testing - manual,code quality,
172,"Used ""Atlassian FishEye analysis with Crucible code review""  to create review in my team for all member can review the PR before put to gitbub and run test again.",code review - peer,testing,
173,Usually I review it on github through the Http page,code review - after,,
174,We use CI server for testing a code before merge.,continuous integration,,
175,talk to the owner of the repo,discussion,,
176,following standard practices in a consistent way and including (self)documentation as much and practically possible.,standard practices,,
177,"Does it work, meet the guidelines. Etc.",testing - manual,project compliance,
178,"Atomated Tests, and checking if the modification cover all points in the request (like as Development Guided By Contract)",standard practices,,
179,Tests and comments.,testing,documentation,
180,Run code to verify that change behaves as expected. gitk and friends to review individual commits.,testing - manual,code review - self,
181,"I run the code myself, and test it manually.",testing - manual,testing,
182,testers test the code before merging,testing - manual,,
183,"Unit tests and integration tests pass, and project works properly in core supported browsers.",testing,testing - manual,
184,"Descriptive and clear commit message, small and isolated changes, manually tested",commit quality,self contained,testing - manual
185,"quite good, but could be better",,,
186,Test all the new use cases and make sure previous tests are not broken.,testing,,
187,I read again the diff and message of each commit,code review - self,,
188,Test,testing,,
189,"Run tests, review diffs",testing,code review - self,
190,Add tests to test suite that fail before the fix/feature. Also observe behavior in browser (this is a charting tool).,testing,testing - manual,
191,No method,,,
192,Personal experience,self appreciation,,
193,"Run tests, wait for feedback by project owner",testing,discussion,
194,"By starting to open the pull request, and then flicking back through it to finally review all my changes just before I submit",code review - self,,
195,review the code myself  execute tests,code review - self,testing,
196,I try to look at it with a fresh perspective,code review - self,,
197,Whether the tests pass and whether it meets the coding standards of the project,testing,project compliance,
198,tests.  myself and friends (irc),testing,testing - peer,
199,"By having existing tests pass, new tests included, overall code style and  organization consistent, and being aware on how ot improve pull request further.",testing,self contained,self appreciation
200,"I only work on translations, so the ""quality"" of them is more or less common sense / good orthography.",self appreciation,,
201,"Verify source code formatting, review docs changes. Verify commit message is descriptive for the change.",project compliance,commit quality,
202,Run diffs to ensure that all changes committed are necessary and intended.,code review - self,,
203,Run all tests (unit and integration) using maven. Nothing must be broken.,testing,,
204,"I check if it is based on relatively new upstream commit, use meaningful commit messages, manually test if program works",branching strategy,commit quality,testing - manual
205,"For this particular repository, the format is fairly well-specified, so there isn't much to do.",project compliance,,
206,run unit tests,testing,,
207,I read it and check that all tests pass.,code review - self,testing,
208,ran the testsuite and ensure the existing tests as well as new tests pass,testing,,
209,Usually by writing tests.,testing,,
210,running the default test / quality tool in the repo,testing,validation scripts,
211,By comparing it with the already existing codebase.,project compliance,,
212,"Does it have tests, does it preserve backwards compat, if there are any changes to the API, is the API still clean and easy to ise",testing,self contained,
213,Run the unit tests.  Run static analysis tools.  Make sure I've updated documentation as appropriate.,testing,static analysis,documentation
214,"tests are passing, coding standards are followed, code is readable and reveals my intent",testing,project compliance,
215,I try if it does what I want. I look if it meets coding standards. I hope reviewers will find my mistakes.,project compliance,code review - after,
216,Works for me,testing - manual,,
217,Mainly - I don't. It's up to the developer who's merging the code to check it for proper code style and quality.,no assessment,,
218,unit tests,testing,,
219,Usually code review,code review - self,,
220,using sonar,static analysis,,
221,"Check manually through Github web interface.(naming, style, etc..)    Maybe I didn't understand correctly, sorry :)",code review - after,project compliance,
222,I do a quick self-review in the compare view,code review - self,,
223,I write tests and review the diff.,testing,code review - self,
224,"1) Does it solve the issue?  2) Does it follow the conventions? (code convention, class licence headers...)",address issue,project compliance,
225,test,testing,,
226,"integrated build testing, my own manual testing, project test suite",continuous integration,testing - manual,testing
227,-,,,
228,Discuss it with the project team on IRC,discussion,,
229,Upload it to a dev environment and perform sanity checks,testing - sandbox,testing - manual,
230,Request the reviewer,,,
231,Coding style (PEP8). Passing tests. Added tests. Documentation.,static analysis,testing,documentation
232,If it is needed to project and is simplifed project then it is good quality.,address issue,,
233,Tests.,testing,,
234,How it aligns with current code base and coding style,project compliance,,
235,Visual review,code review - self,,
236,Run the projects' build script (or tests in case no build script is provided). In case it is necessary run manual/automated acceptance tests.,validation scripts,testing - manual,
237,Unit tests,testing,,
238,"I test it myself. I read over the code and make comments to show my intentions clearly. I write documentation, examples, or tests if they're necessary / helpful. I try to look at what I'm presenting as if someone else had written it and ask myself if I'd hate dealing with the merge or, having the code in my project with respect to functionality, clarity, and conciseness/elegance (in that order).",code review - self,documentation,self appreciation
239,Just making sure everything looks neat and tidy.,self appreciation,,
240,code-review,code review - self,,
241,Personally running project tests and test coverage of any new or changed features before pushing to personal fork. Personal fork is set up to then use TravisCI to run these tests on several environments.,testing,coverage,continuous integration
242,I compare the code against master and review it as if I were reviewing someone else's PR,code review - self,,
243,"I often submit early, before doing much quality-assurance, to make sure I'm on the right track. I then tack that feedback and use it to improve the test suite, refactor code, change APIs, improve documentation, etc.",discussion,,
244,"I run all rake task, before the pull request.",building,,
245,I don't. I'll rework the pull request if rejected.,no assessment,,
246,I would describe my pull request as slightly hacky because the open source project was not well-built.,,,
247,I dogfood for a while to find and fix issues before submitting,testing - manual,,
248,I run tests and visually check the diff for quality commenting and code.,testing,code review - self,
249,I check that it just contains the changes related to what I'm sending,address issue,,
250,Functionality and unit testing.,testing - manual,testing,
251,I usually develop unit tests for the feature developed and also run the all unit tests. I also occasionally test the framework in a real application.,testing,testing - manual,
252,Matching code style and approach. Not changing the architecture the original developers had in mind.  Does it fix what's broken without making the original code more complicated.,project compliance,,
253,"Tests pass, commit messages have descriptive messages, manually verify behavior, ensure inline documentation is up todate.",testing,commit quality,testing - manual
254,"It clearly covers changes being made, only contains commits relevant to one main fix/feature, includes screenshots of proposed changes if applicable, and passes our CI tests",makes sense,self contained,continuous integration
255,Thoroughly tested locally and generally error free.,testing,,
256,"Tests, compilation results, standards",testing,building,project compliance
257,I re-read the changeset,code review - self,,
258,Test coverage,coverage,,
259,"I run and test code with my exact diff, also check the diff by the naked eye",testing,code review - self,
260,"testcase, code review",testing,code review - self,
261,"The project contains full tests for code styles, regression tests and coverage tests. It is controlled by automatic CI system.",continuous integration,coverage,
262,Code review by somebody else.,code review - peer,,
263,try out and check if it works. sometimes unit tests,testing - manual,testing,
264,Writing tests,testing,,
265,Test it in my own project,testing - manual,,
266,"Writing tests and running ""make test"" (if possible).",testing,building,
267,I'll run it by another contributor.,code review - peer,,
268,Check project guidelines,project compliance,,
269,"Tests for project, ensuring new code is tested, checking for code style",testing,project compliance,
270,I check the commit history and run a clean compile ensuring the test suite has no outstanding issues.,self contained,building,
271,"If the project have a test suite, the pull request should have proper test included. Else it should be manually tested. In every case the feature behavior should be described in an issue or in the pull request.",testing,testing - manual,documentation
272,I run the project's test suite and a coding standards checker locally.,testing,static analysis,
273,Self review,code review - self,,
274,second look,code review - self,,
275,Diff and cleanliness,code review - self,code quality,
276,I revert our modified custom branch to master and replay topic on it.,testing - manual,branching strategy,
277,Test software works locally,testing - manual,,
278,Check:  - it works  - it's thoroughly tested  - it's thoroughly documented,testing - manual,testing,documentation
279,git diff,code review - self,,
280,Through various code quality tools and unit tests.,static analysis,testing,
281,"I try to use best practices as I understand them, and am willing to change my pull request if the project owner needs something changed.",standard practices,discussion,
282,"Test coverage,  cleanliness of the code,  are the changes all focused on one feature/improvement, does the build pass in Travis",testing,code quality,continuous integration
283,is everything covered by unit tests?  does it do what the docs say?  does the change make the system better?,testing,documentation,self appreciation
284,Campfire Rule:  I always try to leave the project in a better state than when I found it.,self appreciation,,
285,Testing,testing,,
286,"I often setup demo sites for the community and core team to evaluate my proposed changes. Also, the pull request often sits unmerged while lengthy discussion is held in the issue tracker and mailing list. Getting a new feature in is an iterative process.",testing - sandbox,discussion,
287,I look at the code base.,code review - self,,
288,Tests and documentation included? Code review beforehand also helps,testing,documentation,code review - self
289,- linting  - unit tests  - code style    I try to get another team member's eyes on it early too.,static analysis,testing,code review - peer
290,Check the changes with WinMerge called from the Git Log window of TortoiseGit,code review - self,,
291,compile and test,building,testing,
292,Quick review of the diffs,code review - self,,
293,Ensure that the project compiles and it passes the unit test suite.,building,testing,
294,Code review,code review - self,,
295,"Running it, testing it, and reviewing code consistency with project",testing - manual,project compliance,
296,Test in my own environment.,testing - manual,,
297,Using my ide to check code style and review it a last time before creating a pull request,project compliance,code review - self,
298,With tests and integrating with my project,testing,,
299,"testing, jshint",testing,static analysis,
300,Run tests. QA manually. Discuss it with the team.,testing,testing - manual,discussion
301,Based on whether it completely addresses the required issue.,address issue,,
302,I typically write tests to verify my changes.,testing,,
303,Checking the code identation for the project.  Testing functionality under different enviroments,project compliance,testing - manual,
304,so so,,,
305,"By testing the code extensively, comparing my codestyle to the style mostly used in the project and sometimes giving my code to some fellow programmers for testing.",testing - manual,project compliance,
306,Solving tasks,address issue,,
307,good,,,
308,Peer review,code review - peer,,
309,I make sure code is clean and sensible.,code quality,,
310,Lots of manual testing,testing - manual,,
311,&nbsp;,,,
312,git show,code review - self,,
313,Self test. My features and implementation is small.,testing - manual,,
314,"Reread the code thoroughly, and test it",code review - self,testing,
315,Code Climate and Travis,continuous integration,static analysis,
316,I try the program with my proposal in my computer.,testing - manual,,
317,"passing tests, equal or greater test code coverage, description in pr/issue.",testing,coverage,documentation
318,read their code,,,
319,"I make sure that all tests pass on my branch & I'm following all the coding standards like no trailing whitespace, indentation etc. Also, I request other project members to review my branch before I submit a pull request.",testing,project compliance,code review - peer
320,testing and review with core team,testing,code review - after,
321,"tests, documentation, intuitive feel, interactive use",testing,documentation,self appreciation
322,I really don't know. I tried to do by best. I would expect to be 3.5 to 4 out of 5.,,,
323,"automated tools mostly (flake8 for PEP8 compliance, and acyclomatic complexity, test coverage, etc.)",static analysis,coverage,
324,self reviewing and testing,code review - self,testing,
325,Testing.,testing,,
326,Evaluate the code. Run the tests. Write new tests.,code quality,testing,
327,"Manual and automatic test cases, real-life usage in my own project",testing,testing - manual,
328,-,no assessment,,
329,We have a discussion via an issue about the approach to the problem before I start coding. I request code reviews from the core devs after submitting a pull request to ensure we agree on the implementation,discussion,code review - peer,
330,I read the diff locally and on github and also assess code coverage.,code review - self,coverage,
331,"diff between branches in git, check commit message(s)",code review - self,commit quality,
332,"Not sure what this means, but API changes need documentation and tests should be passing. I won't always run tests across all Scala versions, however.",documentation,testing,
333,The quality of my pull request is fine.,,,
334,"Automated tests, discussions about requirements",testing,discussion,
335,run/write tests if applicable; compare to existing code in project,testing,project compliance,
336,By testing.,testing,,
337,npm test,testing,,
338,testing,testing,,
339,1. New feature or bug is covered by tests.  2. New feature or bug is covered by javadoc.  3. The code analyzer has no serious comments.  4. All tests are successful.  5. The full build is successful.,testing,documentation,static analysis
340,"Checkstyle/unit tests, general sense of beauty of a code",static analysis,self appreciation,
341,I use it in a project,testing - manual,,
342,By running the full test suite + new tests  Checking CI status on Travis or similar,testing,continuous integration,
343,"presence of tests  backwards compatibility  general code quality guidelines (prog patterns, maintainability,no code smells)",testing,code quality,
344,Base is done; open for suggestions and tweaks.,,,
345,Travis tests should be all green,continuous integration,,
346,I review in my own.,code review - self,,
347,"Run entire test suite, deploy to a staging branch. We have Travis CI also.",testing,branching strategy,continuous integration
348,Getting better all the time. Quite good for the moment.,,,
349,Local unit testing if possible,testing,,
350,"Run unit tests, read the code diff.",testing,code review - self,
351,"I put myself in the maintainer's shoes to try and think if the code is useful, necessary, clean, tested, and minimal.",makes sense,code quality,
352,"Code review, testing, and documenting in the PR",code review - self,testing,
353,Test in own environment. Mostly it are small code fixes.,testing - manual,,
354,Using `git diff` to check one last time the changes.,code review - self,,
355,"Check if everything has tests, check commit messages, read over code again.",testing,commit quality,code review - self
356,I read the diff on github,code review - self,,
357,I either add unit-tests or test manually.,testing,testing - manual,
358,The amount of documentation,documentation,,
359,Most are simple; sometimes with tests.,testing,,
360,I run the unit test suite (if any) and check how the source code style fits into the project's preferred style,testing,project compliance,
361,80%,,,
362,"I test them locally, and try to provide the most clean and elegant solution to the problem",testing - sandbox,,
363,"Make sure Everything builds ok, and the system is usable.",building,testing - manual,
364,I don't. This question could be a little more specific.,no assessment,,
365,"I use `git diff` to review each commit before actually commiting. After I made all the commits, they should be clean and according to guidelines and I make my PR.",code review - self,project compliance,
366,I just ensure the test passes,testing,,
367,I test and retest.,testing,,
368,By looking in it??,code review - self,,
369,-,,,
370,Code review. Run all tests.,code review - self,testing,
371,"With unit tests, potentially extending the Travis CI matrix if necessary.",testing,continuous integration,
372,unit tests,testing,,
373,On my own to the best of my knowledge,,,
374,"To be honest, I just go with the flow and try to embrace the code base.",project compliance,,
375,Personal tests,testing - manual,,
376,Why do it? Pull requests are needed to produce code review before the merger.,no assessment,,
377,"Does what it should, code reads well and passing tests.",makes sense,code quality,testing
378,Make sure that unit tests pass.,testing,,
379,tests,testing,,
380,Always try to add at least one test case that breaks with the current master and passes with the submitted fix in case of bug fixes.,testing,,
381,By how I'm feeling about the code; occasionally by requesting code reviews before merging it.,self appreciation,code review - peer,
382,"Try tests, add tests, discuss the code with other project users.",testing,code review - peer,
383,"For example, check whether CI pass or not.",continuous integration,,
384,"I build, run and test the modifications covered by my change.",building,testing - manual,testing
385,Check with project guidelines,project compliance,,
386,.,,,
387,"Minimal impact on original code, with target feature fixed by change",self contained,address issue,
388,The maintainers of the project review my code and so do I.,code review - after,code review - self,
389,"Manual testing of modified features, check appropriate tests have been added, check changes are minimalized, check formatting of new/modified code.",testing,self contained,code quality
390,tests,testing,,
391,Unit tests,testing,,
392,I'm not. It is the responsability of peer reviewer.,no assessment,,
393,Unit tests,testing,,
394,The code is tested by a project leader,code review - peer,,
395,I would write tests but this project has no tests so I incorporated the project into my own project and tested the changes in that context.,testing - manual,,
396,Check tests pass and review the change set.,testing,code review - self,
397,"code review github .what to say ,it is not easy to answer this question.",code review - after,,
398,changes discussed before  make test,discussion,testing,
399,"Others, which have commit access to the repository check the changes if there are any braking changes. If none and the code is working the PR gets normally merged.",code review - after,,
400,"in case of pyload testing is sometimes not very easy, so testing for hosters for example is done by hand",testing,testing - manual,
401,"Trying it out, and reviewing the patch. A good pull request is often short enough that reviewing the diff helps evaluate.",testing - manual,testing,self contained
402,Hood enought,,,
403,I make sure to test it well and follow all style guidelines,testing,project compliance,
404,local testing,testing,,
405,Give my branch to other developers so they can test it,testing - peer,,
406,"It should be easily readable and understandable. by someone not familiar with the feature/fix.    A good way to do it is to make sure the PR only contains something for this feature, not for something else (ie make ""atomic"" PRs/branches)",self contained,,
407,"run the tests, review the code",testing,code review - self,
408,-,,,
409,"Use my own experience, write tests, lint code",self appreciation,testing,static analysis
410,I make sure it works and conforms to the same standards as most of the code,makes sense,project compliance,
411,Test code,testing,,
412,Test,testing,,
413,"run tests, run code linting tools",testing,static analysis,
414,Unit and functional tests.,testing,,
415,"Internal testing, unit testing if possible",testing,,
416,"Compiling in debug mode, running all the examples",static analysis,testing - manual,
417,It should fix the issue without breaking any existing tests. Providing additional tests is a plus.,testing,,
418,Unit Tests,testing,,
419,testing with some saple code,testing,,
420,"I run automated style checkers, look trough the change-set manually and run the tests.",static analysis,code review - self,testing
421,"I run tests, performance tests.",testing,,
422,Checking the general quantity of test and documentation in the code and the code style,testing,documentation,project compliance
423,Testing it does what I claim it does,testing,,
424,developping tests,testing,,
425,"Run tests, own review of code,  check that the scope is right (not too large)",testing,code review - self,self contained
426,Provides a fix and isn't buggy,self contained,,
427,Code review on github,code review - after,,
428,-,,,
429,My own testing,testing,,
430,Tests,testing,,
431,code is checked by two different parties,code review - self,,
432,Unit tests and manual review of the patch.,testing,code review - self,
433,* Code cleanness / soundness  * Enough test coverage  * Documentation  * Proud of it,self contained,testing,documentation
434,"I test my head version quite a lot, and use the file diff to review the code (for example to remove debug code, unrelated code, or things like that)",testing,code review - self,
435,"First I test it, then I check the whole diff for code styling mistakes. After pushing I check again on GitHub to be sure I didn't miss anything.",testing,project compliance,code review - self
436,experience for the initial request   then by comments from my peers,self appreciation,code review - after,
437,Code Review and Unit Test,code review - self,testing,
438,Through exhaustive testing.,testing,,
439,"Tests, binary compatibility script, eyeballing, more eyeballing, often chats with colleagues",testing,code review - self,advice
440,"Run the tests, review the code before commits, (also sometimes use CodeClimate.)",testing,code review - self,static analysis
441,Trying to review the code and run the tests.,code review - self,testing,
442,"Check that all tests still pass, and make sure checkstyle passes.",testing,static analysis,
443,Is it clean and concise?,self contained,,
444,Test the expected result and see if the diff is as small as possible,testing,self contained,
445,"Local testing, unit tests if practical",testing,,
446,manual testing,testing - manual,,
447,"I compare my PR against other previously accepted PRs. I also refer to my own experience on other projects, both personal and work related, to help evaluate the quality of my PR.",project compliance,self appreciation,
448,Manual review and test run.,code review - self,testing,
449,Check against style guidelines,project compliance,,
450,run the tests and use peer to peer software review,testing,code review - after,
